Date,Close,High,Low,Open,Volume
2023-09-18,396.8322143554688,398.3000734245661,393.822711661941,394.8012655928079,951200
2023-09-19,392.63177490234375,397.9584332000785,392.4009833754832,397.1922177269309,862300
2023-09-20,394.1459045410156,397.7462478554196,393.8874190767201,394.1459045410156,1044100
2023-09-21,385.4588317871094,393.83192799987086,385.13571797521473,393.01956539057767,1669400
2023-09-22,381.8676452636719,385.4218403239725,381.4799312849005,383.981703485807,1453300
2023-09-25,381.1753845214844,382.14472610345024,379.892197930564,381.4800451971428,748300
2023-09-26,377.34417724609375,379.6705458847071,376.4210110632287,379.0797341775274,1108000
2023-09-27,377.31646728515625,378.4981188218835,374.5469688547522,377.74111582276896,1317700
2023-09-28,379.3843688964844,381.1383790198851,377.4088079031624,378.4058149906041,819700
2023-09-29,377.5379943847656,379.8366970948377,376.2732613554549,379.3843265555068,764100
2023-10-02,376.4856567382813,379.4120778955211,374.7039526850421,377.5380515851986,733200
2023-10-03,372.8021545410156,376.19018653107935,371.6574375899328,376.0886517828095,899200
2023-10-04,370.4942626953125,371.112796418707,366.5985003721645,369.8757571447134,1243400
2023-10-05,366.820068359375,370.5865737836983,364.2998146756093,370.15268457454,1162800
2023-10-06,369.9404296875,371.5005829383332,363.5151721609636,365.0199376893956,1135600
2023-10-09,402.9898071289063,403.05443553511753,390.8594158949029,395.7798801625669,5343700
2023-10-10,401.669677734375,408.61187842689577,399.2971334934808,407.5963898244896,2626200
2023-10-11,403.1005554199219,405.08535731145184,400.0079427098266,401.3188512393689,1419500
2023-10-12,400.7833862304688,405.3530420012789,397.06299941121296,404.39294126815497,1121900
2023-10-13,407.1717224121094,409.073442719415,401.2727044572961,404.8361128207408,1519300
2023-10-16,406.5716552734375,409.4242356313735,401.0142045396565,405.6577296928479,1931300
2023-10-17,407.236328125,418.0004498685275,401.6973306827401,403.0174516450072,3103900
2023-10-18,411.7967834472656,413.4769528145349,406.44240219544014,409.2488355352659,2024100
2023-10-19,414.6678161621094,415.1201867894743,408.2148929848856,409.5719485213832,2012400
2023-10-20,410.0427856445313,417.825070749878,409.8950756565959,416.6895660648248,1715100
2023-10-23,411.8798828125,417.3265583879261,409.41501637737264,410.0796972451643,1502400
2023-10-24,407.02392578125,415.9878606781877,406.506955021708,414.621592887738,1367100
2023-10-25,413.2922973632813,414.8524505669476,409.5903917155194,410.199684816312,1228900
2023-10-26,411.7044677734375,416.4310746280567,409.5904090999773,413.58773487647454,1432000
2023-10-27,409.3226623535156,413.2645717640879,406.41466637470455,409.3503562117521,1288400
2023-10-30,411.5844421386719,412.5260615820328,408.77800881879045,410.27356182572623,948800
2023-10-31,419.708251953125,420.1605943297692,411.1874186525728,412.9321879430533,1418700
2023-11-01,417.6219177246094,421.6100023522488,416.77259244967297,421.2684072031924,1267000
2023-11-02,422.8470764160156,423.01323957929947,416.1171865750375,416.1171865750375,1242000
2023-11-03,418.50823974609375,422.58864750679896,416.46804995214205,420.1422340824983,1365400
2023-11-06,416.4956665039063,419.8929113611363,416.0156302217313,419.8929113611363,1440800
2023-11-07,415.5633544921875,418.3420944060328,415.13870583129255,418.3420944060328,1220100
2023-11-08,410.4950866699219,417.0587848417263,409.91348745514495,415.5632601024694,1386400
2023-11-09,408.4641723632813,411.3721407100815,405.8977710558498,411.1875243451043,1775500
2023-11-10,410.68890380859375,411.5751353878842,407.0885616057319,409.894994475078,1525400
2023-11-13,410.8366088867188,414.10462477332186,409.230308885938,410.80891503059473,1003800
2023-11-14,410.0888977050781,412.4060539231358,407.91021078489706,408.9626337943534,1336800
2023-11-15,410.9382629394531,413.5877457297909,409.3965628125375,409.3965628125375,1098400
2023-11-16,411.3536376953125,413.273839233515,409.47037069475175,411.54749471553566,912900
2023-11-17,410.5135498046875,412.8676405800123,410.08890122995024,412.3229758884847,898600
2023-11-20,409.7104187011719,411.3536535295109,406.894772855957,409.9135164068227,982000
2023-11-21,413.7169494628906,414.1046916840717,410.033525139262,410.808981408826,1177800
2023-11-22,415.7940673828125,416.99420039422336,413.11689093089257,413.11689093089257,833800
2023-11-24,417.28033447265625,417.8157584359223,415.1847293117205,416.9849145474361,326600
2023-11-27,411.2613220214844,418.0373588881391,411.2059343005339,417.1418865023758,1496900
2023-11-28,413.8277282714844,416.2372068543704,411.7321510083355,413.4492267250234,1124900
2023-11-29,410.8182678222656,415.00021027503846,409.8027791992609,415.00021027503846,1272900
2023-11-30,416.3130493164063,416.3967231908816,411.4225965084389,411.8781637273525,1514500
2023-12-01,417.8377685546875,418.9999527660698,416.66627779005,416.89871463232646,856900
2023-12-04,419.0278930664063,419.2789146709175,414.76963372857045,415.9411246302387,1265700
2023-12-05,414.8905029296875,418.9814145064256,414.5743921939652,418.6559972164158,1055700
2023-12-06,417.8377685546875,418.795407209921,414.2024529366472,414.2024529366472,864100
2023-12-07,415.6993713378906,419.67871768735694,414.9369999881116,418.7768615202973,861100
2023-12-08,416.54541015625,418.879085155038,416.0247538943621,417.05678823843016,761100
2023-12-11,419.5578002929688,421.4172950020651,417.9307424225095,420.1342391130066,1021600
2023-12-12,419.9018249511719,421.8728849094791,418.7303341416108,419.9483009719542,1008200
2023-12-13,419.7251892089844,422.28199468497786,418.8512243400263,421.1291169317312,1300300
2023-12-14,413.9886169433594,419.1952080877665,410.4276968654621,418.8605126412052,1891000
2023-12-15,410.771728515625,413.3192275104636,407.8895056764254,410.0186353328641,3973400
2023-12-18,415.5133972167969,415.8388144684285,411.19935583506566,411.6084469444932,1197300
2023-12-19,416.33154296875,417.0753294442122,414.8067438083265,416.2292560135336,695000
2023-12-20,411.5062561035156,417.0382367974759,411.4783648129917,416.5640848585688,1306800
2023-12-21,416.54541015625,416.6198058357416,413.0123814686336,413.0309662016873,637200
2023-12-22,416.7314147949219,420.0041156956739,416.62912781827646,418.3863641671262,623600
2023-12-26,418.5537414550781,419.7252324370243,416.35955087631766,416.6663550806333,516900
2023-12-27,417.4286804199219,419.33465119072895,416.90802415939976,417.0381740377112,699900
2023-12-28,419.5299682617188,420.087794054325,416.95454956674,417.4287298640969,741800
